count,location
447,United States
297,"California, USA"
263,India
239,"Los Angeles, CA"
223,"London, England"
193,"Lagos, Nigeria"
171,Australia
160,"Houston, TX"
156,Nigeria
151,"Texas, USA"
140,"Chicago, IL"
130,"New Delhi, India"
129,London
119,Global
119,USA
106,United Kingdom
105,Canada
96,"Mumbai, India"
95,"Nairobi, Kenya"
94,"Florida, USA"
91,"New York, NY"
91,"Melbourne, Victoria"
90,"New York, USA"
85,"Johannesburg, South Africa"
80,South Africa
79,"England, United Kingdom"
76,"Dallas, TX"
73,"Atlanta, GA"
68,UK
66,"San Diego, CA"
60,"Seattle, WA"
60,"Toronto, Ontario"
57,Malaysia
56,California
55,"Washington, DC"
55,"Sydney, New South Wales"
53,Republic of the Philippines
53,"Pretoria, South Africa"
52,"Abuja, Nigeria"
52,"San Francisco, CA"
51,"Las Vegas, NV"
49,"Austin, TX"
48,"Bengaluru, India"
48,"Miami, FL"
47,"Arizona, USA"
46,Earth
45,Melbourne
45,New York
44,"Boston, MA"
44,Sydney
44,"Washington, USA"
44,"San Antonio, TX"
43,Worldwide
43,"Phoenix, AZ"
41,"Hyderabad, India"
41,"Portland, OR"
40,"New Jersey, USA"
40,"Pennsylvania, USA"
39,Los Angeles
39,"Alsace, France"
39,"North Carolina, USA"
38,Texas
38,"Oregon, USA"
38,"Melbourne, Australia"
38,New Delhi
38,"Colorado, USA"
37,Mumbai
36,Singapore
36,San Francisco
36,"Cape Town, South Africa"
34,"Kampala, Uganda"
34,"Sydney, Australia"
34,"Virginia, USA"
34,"Philadelphia, PA"
33,France
32,"Georgia, USA"
31,Bangalore
31,"Pune, India"
31,Lagos
31,"Michigan, USA"
30,"Perth, Western Australia"
30,"Ohio, USA"
30,"Brooklyn, NY"
30,Indonesia
30,"New Orleans, LA"
30,"Denver, CO"
29,Chicago
28,"Maryland, USA"
28,"Ontario, Canada"
27,"Illinois, USA"
27,"San Jose, CA"
27,Toronto
27,Johannesburg
27,Nigeria
27,"Orlando, FL"
26,"Kolkata, India"
26,"Vancouver, British Columbia"
25,NY
25,"Indianapolis, IN"
24,"Sacramento, CA"
24,"Dar es Salaam, Tanzania"
24,"Chennai, India"
24,Delhi
24,Kenya
24,New Zealand
23,"Jaipur, India"
23,"Bangkok, Thailand"
23,Southern California
22,"Massachusetts, USA"
22,England
22,"Edmonton, Alberta"
21,Philippines
21,"Nashville, TN"
21,"London, UK"
21,"Paris, France"
